"ID{id,int}(idx)","书籍名称(str,name)","书籍简介(str,dec)","图标(str,p1)","属性类型{type,int}(num,type)","初始星级{value,int}(num,value)","经验升级需求{expUpLevelReq,int}(num,expUpLevelReq)","随机升级物品需求{radioUpLevelReqGoodsId,int}(num,radioUpLevelReqGoodsId)","随机几率{radio,int}(num,radio)","物品升级需求{goodsUpLevelReqGoodsId,int}(num,goodsUpLevelReqGoodsId)",
20510101,《战略辩论术》,,10041997,1,1,200,30010002,10000,30011001,
20510201,《语言的修养》,,10041997,1,2,400,30010002,5000,30011002,
20510301,《全面交际》,,10041997,1,3,600,30010002,3333,30011003,
20510302,《小幽默大气场》,,10041997,1,3,600,30010002,3333,30011003,
20510401,《问题就是答案》,,10041997,1,4,800,30010002,2500,30011004,
20510402,《如何高效沟通》,,10041997,1,4,800,30010002,2500,30011004,
20510403,《口才从何而来》,,10041997,1,4,800,30010002,2500,30011004,
20510404,《左右逢源》,,10041997,1,4,800,30010002,2500,30011004,
20510405,《如此吐槽》,,10041997,1,4,800,30010002,2500,30011004,
20510501,《关键对话》,,10041997,1,5,1000,30010002,2000,30011005,
20510502,《谈资》,,10041997,1,5,1000,30010002,2000,30011005,
20510503,《超级脱口秀》,,10041997,1,5,1000,30010002,2000,30011005,
20510504,《效率沟通》,,10041997,1,5,1000,30010002,2000,30011005,
20510505,《倾听他人》,,10041997,1,5,1000,30010002,2000,30011005,
20510506,《探讨人性》,,10041997,1,5,1000,30010002,2000,30011005,
20510507,《社交礼仪》,,10041997,1,5,1000,30010002,2000,30011005,
20510508,《抉择之道》,,10041997,1,5,1000,30010002,2000,30011005,
20510509,《商务法则》,,10041997,1,5,1000,30010002,2000,30011005,
20510510,《与陌生人做朋友》,,10041997,1,5,1000,30010002,2000,30011005,
20510511,《使命必达》,,10041997,1,5,1000,30010002,2000,30011005,
20510512,《好好说话》,,10041997,1,5,1000,30010002,2000,30011005,
20510513,《幽默表达》,,10041997,1,5,1000,30010002,2000,30011005,
20510514,《抉择之道》,,10041997,1,5,1000,30010002,2000,30011005,
20510515,《谁都聊得来》,,10041997,1,5,1000,30010002,2000,30011005,
20510516,《演讲与口才》,,10041997,1,5,1000,30010002,2000,30011005,
20510517,《打造完美口才》,,10041997,1,5,1000,30010002,2000,30011005,
20510518,《说服任何人》,,10041997,1,5,1000,30010002,2000,30011005,
20510519,《风险论》,,10041997,1,5,1000,30010002,2000,30011005,
20510520,《即兴演讲》,,10041997,1,5,1000,30010002,2000,30011005,
20510521,《你只是不会表达》,,10041997,1,5,1000,30010002,2000,30011005,
20510522,《幽默沟通学》,,10041997,1,5,1000,30010002,2000,30011005,
20510601,《方与圆》,,10041997,1,6,1200,30010002,1667,30011006,
20510602,《文字与人心》,,10041997,1,6,1200,30010002,1667,30011006,
20510603,《不抱怨的世界》,,10041997,1,6,1200,30010002,1667,30011006,
20510604,《如何影响他人》,,10041997,1,6,1200,30010002,1667,30011006,
20510605,《如何赢得朋友》,,10041997,1,6,1200,30010002,1667,30011006,
20510606,《影响力》,,10041997,1,6,1200,30010002,1667,30011006,
20510701,《语言的力量》,,10041997,1,7,1400,30010002,1429,30011007,
20510702,《沟通的魅力》,,10041997,1,7,1400,30010002,1429,30011007,
20520101,《思考锻炼》,,10041999,2,1,200,30010003,10000,30011001,
20520201,《如何开始》,,10041999,2,2,400,30010003,5000,30011002,
20520301,《知识的另一半》,,10041999,2,3,600,30010003,3333,30011003,
20520302,《新事物的由来》,,10041999,2,3,600,30010003,3333,30011003,
20520303,《独创的天才》,,10041999,2,3,600,30010003,3333,30011003,
20520401,《智慧之道》,,10041999,2,4,800,30010003,2500,30011004,
20520402,《思想的界限》,,10041999,2,4,800,30010003,2500,30011004,
20520403,《源于创造》,,10041999,2,4,800,30010003,2500,30011004,
20520501,《守富与传富》,,10041999,2,5,1000,30010003,2000,30011005,
20520502,《经典思维》,,10041999,2,5,1000,30010003,2000,30011005,
20520503,《自由意志》,,10041999,2,5,1000,30010003,2000,30011005,
20520504,《超级逻辑》,,10041999,2,5,1000,30010003,2000,30011005,
20520505,《思维模式重组》,,10041999,2,5,1000,30010003,2000,30011005,
20520506,《超越自我》,,10041999,2,5,1000,30010003,2000,30011005,
20520507,《创新者的解答》,,10041999,2,5,1000,30010003,2000,30011005,
20520508,《乔布斯传》,,10041999,2,5,1000,30010003,2000,30011005,
20520509,《思维游戏》,,10041999,2,5,1000,30010003,2000,30011005,
20520510,《聪明人的思考》,,10041999,2,5,1000,30010003,2000,30011005,
20520511,《时间简史》,,10041999,2,5,1000,30010003,2000,30011005,
20520601,《创造力》,,10041999,2,6,1200,30010003,1667,30011006,
20520602,《点子的神话》,,10041999,2,6,1200,30010003,1667,30011006,
20530101,《绩效学》,,10041998,3,1,200,30010004,10000,30011001,
20530201,《人力资源学》,,10041998,3,2,400,30010004,5000,30011002,
20530301,《最佳管理原则》,,10041998,3,3,600,30010004,3333,30011003,
20530302,《人性管理经典》,,10041998,3,3,600,30010004,3333,30011003,
20530303,《乐于工作》,,10041998,3,3,600,30010004,3333,30011003,
20530304,《公司道德》,,10041998,3,3,600,30010004,3333,30011003,
20530305,《管理自己》,,10041998,3,3,600,30010004,3333,30011003,
20530401,《组织行为学》,,10041998,3,4,800,30010004,2500,30011004,
20530402,《从优秀到卓越》,,10041998,3,4,800,30010004,2500,30011004,
20530403,《企业的人性面》,,10041998,3,4,800,30010004,2500,30011004,
20530404,《激励机制》,,10041998,3,4,800,30010004,2500,30011004,
20530405,《你可以说不》,,10041998,3,4,800,30010004,2500,30011004,
20530501,《以人为本》,,10041998,3,5,1000,30010004,2000,30011005,
20530502,《工匠精神》,,10041998,3,5,1000,30010004,2000,30011005,
20530503,《你在为谁工作》,,10041998,3,5,1000,30010004,2000,30011005,
20530504,《人性的优点》,,10041998,3,5,1000,30010004,2000,30011005,
20530505,《人才管理》,,10041998,3,5,1000,30010004,2000,30011005,
20530506,《人才的变革》,,10041998,3,5,1000,30010004,2000,30011005,
20530507,《处世绝学》,,10041998,3,5,1000,30010004,2000,30011005,
20530508,《不要输给情绪》,,10041998,3,5,1000,30010004,2000,30011005,
20530509,《自控与自律》,,10041998,3,5,1000,30010004,2000,30011005,
20530601,《人性的弱点》,,10041998,3,6,1200,30010004,1667,30011006,
20540101,《走一步看十步》,,10041996,4,1,200,30010005,10000,30011001,
20540201,《机不可失》,,10041996,4,2,400,30010005,5000,30011002,
20540202,《洞若观火》,,10041996,4,2,400,30010005,5000,30011002,
20540301,《看不见的机会》,,10041996,4,3,600,30010005,3333,30011003,
20540302,《规避风险》,,10041996,4,3,600,30010005,3333,30011003,
20540303,《抓住机遇》,,10041996,4,3,600,30010005,3333,30011003,
20540304,《博弈论》,,10041996,4,3,600,30010005,3333,30011003,
20540305,《全球视界》,,10041996,4,3,600,30010005,3333,30011003,
20540306,《拯救自己》,,10041996,4,3,600,30010005,3333,30011003,
20540401,《发现未知》,,10041996,4,4,800,30010005,2500,30011004,
20540402,《看的更远》,,10041996,4,4,800,30010005,2500,30011004,
20540403,《判断力修养》,,10041996,4,4,800,30010005,2500,30011004,
20540404,《高瞻远瞩》,,10041996,4,4,800,30010005,2500,30011004,
20540405,《位置与境界》,,10041996,4,4,800,30010005,2500,30011004,
20540406,《眼观六路》,,10041996,4,4,800,30010005,2500,30011004,
20540501,《观察入微》,,10041996,4,5,1000,30010005,2000,30011005,
20540502,《眼界决定空间》,,10041996,4,5,1000,30010005,2000,30011005,
20540503,《视野》,,10041996,4,5,1000,30010005,2000,30011005,
20540504,《抉择之道》,,10041996,4,5,1000,30010005,2000,30011005,
20540505,《赢在关键》,,10041996,4,5,1000,30010005,2000,30011005,
20540506,《选择的博弈》,,10041996,4,5,1000,30010005,2000,30011005,
20540507,《善断》,,10041996,4,5,1000,30010005,2000,30011005,
20540508,《掌握时机》,,10041996,4,5,1000,30010005,2000,30011005,
20540509,《世事如棋》,,10041996,4,5,1000,30010005,2000,30011005,
20540510,《圈子决定格局》,,10041996,4,5,1000,30010005,2000,30011005,
20540511,《胆量决定财富》,,10041996,4,5,1000,30010005,2000,30011005,
20540601,《不同的视角》,,10041996,4,6,1200,30010005,1667,30011006,
20540602,《洞见未来》,,10041996,4,6,1200,30010005,1667,30011006,
20540701,《改变世界的眼光》,,10041996,4,7,1400,30010005,1429,30011007,
